Pertanyaan	Jawaban	Kategori
Listrik rumahnya berapa watt?	(ISI: )	Unit
Sumber airnya PDAM atau sumur bor?	(ISI: )	Unit
Carport-nya muat mobil tidak?	(ISI: )	Unit
Berapa lebar jalan di depan rumah?	(ISI: )	Unit
Rangka atap dan dindingnya pakai material apa?	(ISI: )	Unit
Rumahnya boleh direnovasi atau ditambah lantai 2?	(ISI: )	Unit
Ada tipe lain selain 36/72, 36/81, dan 30/60?	(ISI: )	Unit
Unitnya sudah termasuk pagar dan kanopi?	(ISI: )	Unit
Ada security 24 jam / one gate system / CCTV?	(ISI: )	Fasilitas
Iuran bulanan (IPL) berapa?	(ISI: )	Fasilitas
Sampah dan kebersihan lingkungan dikelola siapa?	(ISI: )	Fasilitas
Total ada berapa unit/kavling di perumahan ini?	(ISI: )	Fasilitas
Daerah situ pernah banjir tidak?	(ISI: )	Lokasi
Sekolah terdekat apa dan berapa jauh?	(ISI: )	Lokasi
Rumah sakit atau klinik terdekat di mana?	(ISI: )	Lokasi
Pasar atau minimarket terdekat berapa menit?	(ISI: )	Lokasi
Biaya balik nama dari SHGB ke SHM berapa?	(ISI: )	Legalitas
Akadnya di mana dan notarisnya siapa?	(ISI: )	Legalitas
Kalau pembeli meninggal sebelum lunas, bagaimana asuransinya?	(ISI: )	Legalitas
Nanti bisa over kredit tidak?	(ISI: )	Legalitas
Kalau mau dijual lagi sebelum lunas, boleh?	(ISI: )	Legalitas
Bisa KPR lewat bank selain BTN (BCA/Mandiri/BRI)?	(ISI: )	KPR
Kalau saya freelancer atau karyawan kontrak, bisa ajukan KPR?	(ISI: )	KPR
Kalau BI checking saya bermasalah, masih bisa diproses?	(ISI: )	KPR
WNI di luar negeri / TKI bisa ajukan KPR?	(ISI: )	KPR
Berapa lama proses KPR sampai akad?	(ISI: )	KPR
Kalau bayar cash keras, harganya jadi berapa?	(ISI: )	Harga & Pembayaran
Serah terima unit atau serah terima kunci kapan?	(ISI: )	Booking
Berapa unit yang sudah terjual sejauh ini?	(ISI: )	Booking
Developernya pernah menyelesaikan proyek apa saja sebelumnya?	(ISI: )	Lingkungan
