Pertanyaan	Jawaban	Kategori
Lokasinya dimana ya?	Jl. Cisoka Raya, Desa Caringin, Kec. Cisoka, Kab. Tangerang, Banten. Arah Cangkudu, dekat Pasar Cisoka & Polsek Cisoka. ID lokasi Sikumbang/Tapera: TGR0520022020T001.	Lingkungan
Aksesibilitasnya gimana?	±10 menit dari Stasiun Tigaraksa. Akses Pintu Tol Balaraja Barat & Timur via Jl. Raya Serang; ada rencana exit tol Tigaraksa. Dekat Stasiun Cikoya; arah Bandara Soekarno-Hatta & BSD.	Lingkungan
Untuk legalitasnya gimana?	Sertifikat saat ini SHGB, dapat diubah menjadi SHM setelah akad. Bekerja sama dengan APERSI dan Bank BTN. Pengambilan sertifikat setelah lunas dilakukan di bank, tanpa biaya tambahan apa pun.	Lingkungan
Ini Developer nya siapa?	PT Hidup Persada Raya. Hotline: 0822-8181-1212. Website: www.persadacisoka.com.	Lingkungan
Lokasi Kantor Pemasaran di mana ya?	Kantor marketing di dekat gerbang perumahan (bangunan kontainer). setiap hari buka dari jam 09.00 s/d 17.00, no telp (021) 59574215	Lingkungan
Syarat KPR nya apa aja?	Subsidi (30/60): 1) FC KTP pemohon & suami/istri (jika menikah), 2) FC KK, 3) FC buku nikah/cerai (jika ada), 4) FC NPWP, 5) pas foto 2x3 & 3x4 masing-masing 1 lembar, 6) surat keterangan aktif kerja asli, 7) surat pengangkatan karyawan tetap, 8) slip gaji, 9) rekening koran 3 bln terakhir, 10) surat keterangan belum memiliki rumah dari kelurahan. Komersil (36/72 & 36/81): sama, poin 10 tidak diperlukan. Usia minimal 21 tahun & sudah bekerja. Cek data awal cukup KTP (suami-istri jika menikah).	Lingkungan
Apa benar perumahan tanpa DP?	Untuk unit komersil, booking fee-nya Rp2.500.000 kak. Untuk rincian uang muka dan skema pembayaran komersil, tim marketing kami yang bisa pastikan sesuai ketentuan terbaru yaa - kalau mau saya sambungkan tinggal bilang aja.	Harga & Pembayaran
DP-nya berapa?	Unit subsidi 30/60: DP Rp7.500.000 all-in sampai terima kunci, dan bisa dicicil 4x kak. Saat akad nanti masih ada PBB & materai yaa. Untuk unit komersil, rincian uang mukanya sedang kami pastikan ke tim marketing - biar akurat, tim kami yang infokan langsung. Kakak lagi lihat yang subsidi atau komersil?	Harga & Pembayaran
Harga rumahnya berapa?	Tipe 36/72 (komersil) Rp383.004.784, Tipe 36/81 (komersil) Rp409.294.258, Tipe 30/60 (subsidi) Rp185.000.000 (tidak termasuk kelebihan tanah unit hook). Kakak lagi cari yang subsidi atau komersil?	Harga & Pembayaran
Cicilannya berapa per bulan?	Untuk simulasi cicilan komersil yang akurat, tim marketing kami yang bantu hitungkan langsung sesuai program yang berlaku yaa kak, supaya angkanya pas. Untuk subsidi 30/60 saya bisa infokan sekarang: flat Rp1.900.164 (10 thn) / Rp1.416.707 (15 thn) / Rp1.182.311 (20 thn) per bulan. Kakak lagi cari yang subsidi atau komersil?	Harga & Pembayaran
Cicilan flat atau ikut suku bunga?	Untuk subsidi: bunga 5% tetap sampai lunas, jadi cicilannya tidak berubah. Untuk komersil: mengikuti program dan kebijakan bank yang berlaku - tim marketing kami yang bantu simulasikan sesuai kondisi kakak.	KPR
Syarat pengajuannya apa saja?	Untuk subsidi (30/60): FC KTP pemohon & suami/istri, FC KK, FC buku nikah/cerai (jika ada), FC NPWP, pas foto 2x3 & 3x4, surat keterangan aktif kerja asli, surat pengangkatan karyawan tetap, slip gaji, rekening koran 3 bln terakhir, dan surat keterangan belum memiliki rumah dari kelurahan. Untuk komersil: sama, tanpa surat keterangan belum memiliki rumah. Cek data awal cukup KTP dulu kok kak 😊	KPR
Masih ada cicilan motor/lainnya, bisa ambil rumah?	Bisa diusahakan kak - nanti tim kami bantu cek data dulu. Kalau ada riwayat kredit sebelumnya, biasanya diminta bukti pelunasan resmi dari leasing. Boleh saya bantu proses cek datanya?	KPR
Umur minimal berapa untuk KPR?	Minimal 21 tahun dan sudah bekerja kak.	KPR
Bank KPR-nya apa?	Kami bekerja sama dengan Bank BTN (dan APERSI).	KPR
Lokasinya di jalan mana?	Di Jl. Cisoka Raya, Desa Caringin, Kec. Cisoka, Kab. Tangerang - arah Cangkudu, dekat Pasar Cisoka dan Polsek Cisoka.	Lokasi
Dekat stasiun apa?	Dekat Stasiun Tigaraksa kak, sekitar 10 menit dari perumahan. Akses tol juga dekat lewat Pintu Tol Balaraja Barat/Timur.	Lokasi
Unitnya ready atau indent?	Unit ready stock kak. Untuk ketersediaan blok terkini, nanti saya bantu cek ke tim lapangan ya.	Unit
Fasilitasnya apa saja?	Ada masjid, jalan lingkungan, taman, dan lapangan voli.	Fasilitas
Sertifikatnya SHM atau SHGB?	Saat ini SHGB, dan dapat diubah menjadi SHM setelah akad kak.	Legalitas
Kalau sudah lunas, sertifikat diambil di mana?	Pengambilan sertifikat dilakukan di bank kak, dan tidak ada biaya tambahan setelah lunas.	Legalitas
Kalau mau booking bagaimana caranya?	Cukup siapkan data diri + booking fee, nanti dipandu tim kami sampai selesai. Untuk subsidi ada tahap reservasi Rp500.000 dulu untuk cek data - uangnya kembali kalau pengajuan tidak disetujui.	Booking
Uang booking hangus tidak kalau tidak di-ACC?	Perlu saya sampaikan apa adanya yaa kak: untuk tahap reservasi Rp500.000 (cek data/BI checking), uangnya kembali kalau pengajuan tidak disetujui. Tapi setelah masuk booking fee, sesuai ketentuan developer booking fee hangus kalau KPR ditolak bank atau pembelian batal. Kalau uang muka sudah dibayar lalu batal, uang muka dipotong 10%. Karena itu tim kami biasanya cek kelayakan data dulu di awal supaya aman.	Booking
