name|type|typeVersion|position|notesFlags
Webhook|n8n-nodes-base.webhook|2.1|-5408,2816|
IF Unknown|n8n-nodes-base.if|2.2|528,3136|
Chat Counter|n8n-nodes-base.code|2|-4528,2816|
Process Counter & Merge Data|n8n-nodes-base.code|2|1648,2288|
Extract & Prepare Data|n8n-nodes-base.code|2|1200,2288|
Record to UNKNOWN|n8n-nodes-base.googleSheets|4.7|752,3136|creds:googleApi
Read STATS|n8n-nodes-base.googleSheets|4.7|1424,2288|creds:googleApi
Update to STATS|n8n-nodes-base.googleSheets|4.7|1872,2288|creds:googleApi
Wait1|n8n-nodes-base.wait|1.1|528,2624|
Wait2|n8n-nodes-base.wait|1.1|976,3136|
Reply Chat Kirimi|n8n-nodes-base.httpRequest|4.3|752,2624|
Notify Admin Unknown|n8n-nodes-base.httpRequest|4.3|1200,3136|
Notify Admin API Error|n8n-nodes-base.httpRequest|4.3|1200,2720|
Check API Response|n8n-nodes-base.code|2|944,2480|
HITL Check|n8n-nodes-base.code|2|-2736,2720|
Read STATS for HITL|n8n-nodes-base.googleSheets|4.7|-2960,2720|creds:googleApi
IF Send GForm|n8n-nodes-base.if|2.2|528,2000|
Send GForm Link|n8n-nodes-base.httpRequest|4.3|1424,1904|disabled
IF Bot Mode Active|n8n-nodes-base.if|2.2|-3856,2816|
Read User STATS|n8n-nodes-base.googleSheets|4.7|-4304,2816|creds:googleApi
Query LINKS for GForm|n8n-nodes-base.googleSheets|4.7|752,2000|disabled;creds:googleApi
Update GForm Sent TS1|n8n-nodes-base.googleSheets|4.7|1648,1904|creds:googleApi
Cek_user_status|n8n-nodes-base.code|2|-1616,2720|
Update STATS - Greeting Flag|n8n-nodes-base.code|2|1200,2912|
IF Update Greeting|n8n-nodes-base.if|2.3|1424,2912|
IF From Me|n8n-nodes-base.if|2.3|-4976,2816|
Wait3|n8n-nodes-base.wait|1.1|-2512,2720|
Update Buffer|n8n-nodes-base.googleSheets|4.7|-3184,2720|creds:googleApi
Re-Read STATS Debounce|n8n-nodes-base.googleSheets|4.7|-2288,2720|creds:googleApi
Delete_Pending_Msg|n8n-nodes-base.googleSheets|4.7|1200,2480|creds:googleApi
IF_Chat_Debounce|n8n-nodes-base.if|2.3|-2064,2720|
Update Greeting|n8n-nodes-base.googleSheets|4.7|1648,2912|creds:googleApi
Preprocess - Context Detection|n8n-nodes-base.code|2|-1392,2720|
IF Talk To Sam|n8n-nodes-base.if|2.3|528,2192|
Notify Talk to Sam|n8n-nodes-base.httpRequest|4.3|752,2192|
Update row in sheet|n8n-nodes-base.googleSheets|4.7|976,2192|creds:googleApi
Delete_Pending_Msg_Bot_Off|n8n-nodes-base.googleSheets|4.7|-3632,2912|creds:googleApi
IF (Whitelist)|n8n-nodes-base.if|2.3|-4752,2816|disabled
Read FAQ|n8n-nodes-base.googleSheets|4.7|-1168,2720|creds:googleApi
FAQ Retrieve|n8n-nodes-base.code|2|-272,2720|
Reply Error|n8n-nodes-base.httpRequest|4.3|304,3328|
Delete_Pending_Msg_Error|n8n-nodes-base.googleSheets|4.7|1424,2720|creds:googleApi
Process All|n8n-nodes-base.code|2|304,2432|
Anthropic Chat Model|@n8n/n8n-nodes-langchain.lmChatAnthropic|1.3|-48,2944|creds:anthropicApi
Simple Memory|@n8n/n8n-nodes-langchain.memoryBufferWindow|1.3|80,2944|
AI Agent|@n8n/n8n-nodes-langchain.agent|3|-48,2720|
Read PROGRAM Data|n8n-nodes-base.googleSheets|4.7|-944,2720|creds:googleApi
Read ABOUT Data|n8n-nodes-base.googleSheets|4.7|-720,2720|creds:googleApi
Read LINKS Data|n8n-nodes-base.googleSheets|4.7|-496,2720|creds:googleApi
Pick GForm Link|n8n-nodes-base.code|2|976,2000|disabled
IF GForm Resolved|n8n-nodes-base.if|2.2|1200,2000|disabled
Send GForm Clarify|n8n-nodes-base.httpRequest|4.3|1424,2096|disabled
Rate Limiter LID|n8n-nodes-base.code|2|-3632,2720|
Delete_Pending_Msg_Bot_Off1|n8n-nodes-base.googleSheets|4.7|528,3328|creds:googleApi
Resolve User Row|n8n-nodes-base.code|2|-4080,2816|
Append MSG_BUFFER|n8n-nodes-base.googleSheets|4.7|-3408,2720|creds:googleApi
Read MSG_BUFFER|n8n-nodes-base.googleSheets|4.7|-1840,2720|creds:googleApi
If From Group|n8n-nodes-base.if|2.3|-5200,2816|
Notify User Error|n8n-nodes-base.httpRequest|4.3|-3120,2928|
