ID,Tanggal_Komplain,Nama_Project,Komplain,Pengaju,Prioritas,Kategori,Attachment_URL,Status,Tanggal_Submit
CMP-20260408091230,2026-04-08,Kemenpora,Saluran air bermasalah,Tim Gedung,Sedang,Plumbing / Saluran Air,-,resolved,"08/04/2026, 09.12.30"
CMP-20260408092145,2026-04-08,Kemenpora,Kebocoran di dekat atas meja makan,Tim Gedung,Tinggi,Kebocoran,-,pending,"08/04/2026, 09.21.45"
CMP-20260409100000,2026-04-09,Kemenpora,"CCTV 2 Unit (daerah parungan dan pojok kanan)",Tim Security,Sedang,CCTV / Keamanan,-,pending,"09/04/2026, 10.00.00"
CMP-20260409100500,2026-04-09,Kemenpora,Meja 2 unit dan bangku 4 unit,Tim Furnitur,Rendah,Furnitur,-,pending,"09/04/2026, 10.05.00"
CMP-20260406083000,2026-04-06,DPR,Lampu Parungan atas diganti menjadi lampu TL/panjang,Tim Listrik,Sedang,Listrik,-,resolved,"06/04/2026, 08.30.00"
CMP-20260408110000,2026-04-08,DPR,Penutup Lubang kaca atas,Tim Interior,Rendah,Lainnya,-,pending,"08/04/2026, 11.00.00"
CMP-20260406090000,2026-04-06,DPR,Kursi VIP patah bagian sandaran 1 Unit,Tim Furnitur,Sedang,Furnitur,-,pending,"06/04/2026, 09.00.00"
CMP-20260408120000,2026-04-08,DPR,"Speaker 2 di area depan dan 1 di area belakang, CCTV di area depan",Tim Security,Sedang,CCTV / Keamanan,-,pending,"08/04/2026, 12.00.00"
CMP-20260408080000,2026-04-08,UMKM,CCTV tambahan,Tim Security,Rendah,CCTV / Keamanan,-,pending,"08/04/2026, 08.00.00"
CMP-20260408130000,2026-04-08,Brawijaya,Terdapat kebocoran,Tim Gedung,Tinggi,Kebocoran,-,pending,"08/04/2026, 13.00.00"
CMP-20260408140000,2026-04-08,KP2MI,Wastafel kurang berfungsi/sering mati,Tim Plumbing,Sedang,Plumbing / Saluran Air,-,pending,"08/04/2026, 14.00.00"
CMP-20260410090000,2026-04-10,KP2MI,Meja outdoor,Tim Furnitur,Rendah,Furnitur,-,pending,"10/04/2026, 09.00.00"
CMP-20260410091500,2026-04-10,KP2MI,AC 2 unit tambahan,Tim AC,Sedang,AC / HVAC,-,pending,"10/04/2026, 09.15.00"
